date,count
2019-04-04,15
2019-04-05,16
2019-04-06,39
2019-04-07,15
2019-04-08,41
2019-04-09,12
2019-04-10,11
2019-04-11,30
2019-04-12,34
2019-04-13,28
2019-04-14,45
2019-04-15,26
2019-04-16,7
2019-04-17,8
2019-04-18,8
2019-04-19,33
2019-04-20,14
2019-04-21,22
2019-04-22,18
2019-04-23,1
2019-04-25,21
2019-04-26,6
2019-04-27,43
2019-04-28,35
2019-04-29,19
2019-04-30,11
2019-05-02,20
2019-05-03,33
2019-05-04,22
2019-05-05,13
2019-05-06,19
2019-05-07,10
2019-05-08,6
2019-05-09,9
2019-05-10,26
2019-05-11,28
2019-05-12,11
2019-05-13,29
2019-05-14,8
2019-05-15,11
2019-05-16,19
2019-05-17,41
2019-05-18,43
2019-05-19,36
2019-05-20,22
2019-05-21,12
2019-05-22,6
2019-05-23,14
2019-05-24,15
2019-05-25,40
2019-05-26,37
2019-05-27,15
2019-05-29,5
2019-05-31,5
2019-06-01,11
2019-06-02,26
2019-06-03,25
2019-06-05,6
2019-06-06,20
2019-06-07,34
2019-06-08,31
2019-06-09,27
2019-06-11,7
2019-06-12,10
2019-06-13,16
2019-06-14,9
2019-06-15,24
2019-06-16,23
2019-06-17,33
2019-06-18,7
2019-06-19,6
2019-06-20,17
2019-06-21,5
2019-06-22,38
2019-06-23,30
2019-06-24,21
2019-06-25,4
2019-06-26,7
2019-06-27,18
2019-06-28,20
2019-06-29,32
2019-06-30,32
2019-07-01,24
2019-07-02,8
2019-07-03,4
2019-07-04,5
2019-07-05,19
2019-07-06,43
2019-07-07,46
2019-07-08,29
2019-07-09,11
2019-07-10,19
2019-07-11,13
2019-07-12,16
2019-07-13,47
2019-07-14,54
2019-07-15,15
2019-07-16,8
2019-07-17,8
2019-07-18,19
2019-07-19,36
2019-07-20,53
2019-07-21,47
2019-07-22,35
2019-07-23,15
2019-07-24,23
2019-07-25,33
2019-07-26,43
2019-07-27,35
2019-07-28,38
2019-07-29,30
2019-07-30,13
2019-07-31,37
2019-08-01,38
2019-08-02,39
2019-08-03,49
2019-08-04,59
2019-08-05,29
2019-08-06,31
2019-08-07,29
2019-08-08,13
2019-08-09,31
2019-08-10,52
2019-08-11,63
2019-08-12,33
2019-08-13,35
2019-08-14,41
2019-08-15,37
2019-08-16,34
2019-08-17,39
2019-08-18,54
2019-08-19,36
2019-08-20,29
2019-08-21,24
2019-08-22,42
2019-08-23,44
2019-08-24,36
2019-08-25,33
2019-08-26,49
2019-08-27,23
2019-08-28,26
2019-08-29,33
2019-08-30,39
2019-08-31,42
2019-09-01,18
2019-09-02,37
2019-09-03,24
2019-09-04,36
2019-09-05,43
2019-09-06,33
2019-09-07,45
2019-09-08,57
2019-09-09,60
2019-09-10,54
2019-09-11,36
2019-09-12,28
2019-09-13,34
2019-09-14,53
2019-09-15,48
2019-09-16,74
2019-09-17,54
2019-09-18,76
2019-09-19,63
2019-09-20,56
2019-09-21,62
2019-09-22,55
2019-09-23,83
2019-09-24,77
2019-09-25,73
2019-09-26,57
2019-09-27,69
2019-09-28,90
2019-09-29,68
2019-09-30,114
2019-10-01,63
2019-10-02,64
2019-10-03,22
2019-10-04,116
2019-10-05,23
2019-10-06,95
2019-10-07,85
2019-10-08,71
2019-10-09,49
2019-10-10,50
2019-10-11,77
2019-10-12,59
2019-10-13,67
2019-10-14,76
2019-10-15,59
2019-10-16,70
2019-10-17,78
2019-10-18,63
2019-10-19,68
2019-10-20,114
2019-10-21,37
2019-10-22,69
2019-10-23,44
2019-10-24,74
2019-10-25,47
2019-10-26,95
2019-10-27,65
2019-10-28,83
2019-10-29,70
2019-10-30,30
2019-10-31,56
2019-11-01,51
2019-11-02,54
2019-11-03,63
2019-11-04,67
2019-11-05,120
2019-11-06,91
2019-11-07,63
2019-11-08,80
2019-11-09,68
2019-11-10,75
2019-11-11,117
2019-11-12,140
2019-11-13,104
2019-11-14,82
2019-11-15,83
2019-11-16,76
2019-11-17,95
2019-11-18,127
2019-11-19,142
2019-11-20,166
2019-11-21,100
2019-11-22,76
2019-11-23,54
2019-11-24,108
2019-11-25,119
2019-11-26,102
2019-11-27,82
2019-11-28,71
2019-11-29,43
2019-11-30,73
2019-12-01,72
2019-12-02,140
2019-12-03,135
2019-12-04,96
2019-12-05,74
2019-12-06,63
2019-12-07,42
2019-12-08,74
2019-12-09,114
2019-12-10,102
2019-12-11,92
2019-12-12,57
2019-12-13,71
2019-12-14,74
2019-12-15,41
2019-12-16,110
2019-12-17,125
2019-12-18,76
2019-12-19,106
2019-12-20,58
2019-12-21,53
2019-12-22,28
2019-12-23,71
2019-12-24,12
2019-12-25,103
2019-12-26,9
2019-12-27,61
2019-12-28,111
2019-12-29,29
2019-12-30,98
2019-12-31,60
2020-01-01,61
2020-01-02,93
2020-01-03,36
2020-01-04,91
2020-01-05,48
2020-01-06,93
2020-01-07,135
2020-01-08,76
2020-01-09,74
2020-01-10,109
2020-01-11,75
2020-01-12,55
2020-01-13,126
2020-01-14,67
2020-01-15,65
2020-01-16,41
2020-01-17,65
2020-01-18,43
2020-01-19,63
2020-01-20,77
2020-01-21,93
2020-01-22,79
2020-01-23,49
2020-01-24,48
2020-01-25,49
2020-01-26,38
2020-01-27,65
2020-01-28,66
2020-01-29,107
2020-01-30,71
2020-01-31,42
2020-02-01,46
2020-02-02,49
2020-02-03,134
2020-02-04,77
2020-02-05,83
2020-02-06,62
2020-02-07,472
2020-02-08,105
2020-02-09,34
2020-02-10,100
2020-02-11,89
2020-02-12,105
2020-02-13,79
2020-02-14,87
2020-02-15,83
2020-02-16,80
2020-02-17,75
2020-02-18,121
2020-02-19,185
2020-02-20,93
2020-02-21,93
2020-02-22,74
2020-02-23,99
2020-02-24,98
2020-02-25,118
2020-02-26,144
2020-02-27,88
2020-02-28,107
2020-02-29,85
2020-03-01,99
2020-03-02,141
2020-03-03,98
2020-03-04,125
2020-03-05,99
2020-03-06,108
2020-03-07,111
2020-03-08,82
2020-03-09,133
2020-03-10,109
2020-03-11,90
2020-03-12,74
2020-03-13,69
2020-03-14,74
2020-03-15,67
2020-03-16,110
2020-03-17,105
2020-03-18,168
2020-03-19,170
2020-03-20,55
2020-03-21,18
2020-03-22,31
2020-03-23,109
2020-03-24,73
2020-03-25,69
2020-03-26,79
2020-03-27,63
2020-03-28,42
2020-03-29,27
2020-03-30,68
2020-03-31,73
2020-04-01,70
2020-04-02,74
2020-04-03,64
